count,count_norm,parent,tax_rank,tax_color,avg,taxon,tax_name
760,9877,80840,family,,,995019,Sutterellaceae
3,38,186813,genus,,,1017280,Pseudoflavonifractor
25,324,459247,genus,,,1080709,Methanomassiliicoccus
23,298,102106,species,,,1232426,Collinsella sp. GD3
2,25,1392389,species,,,1297617,Intestinimonas butyriciproducens
404,5250,256845,class,,,1313211,Lentisphaeria
57,740,186813,genus,,,1392389,Intestinimonas
12,155,541000,genus,,,1470353,Candidatus Soleaferrea
7,90,128827,genus,,,1472649,Dielma
376,4886,186804,genus,,,1505652,Terrisporobacter
422,5484,186804,genus,,,1505657,Intestinibacter
428,5562,128827,genus,,,1505663,Erysipelatoclostridium
