"ï»¿""taxon""",parent,count,count_norm,avg,tax_name,tax_rank,tax_color
72294,213849,5,452,null,Campylobacteraceae,family,null
29547,68525,5,452,null,Epsilonproteobacteria,class,null
68525,1224,5,452,null,delta/epsilon subdivisions,subphylum,null
265975,186803,5,452,null,Oribacterium,genus,null
237576,265975,5,452,null,Oribacterium sinus,species,null
85006,2037,4,362,null,Micrococcineae,suborder,null
32207,1268,4,362,null,Rothia,genus,null
166578,134245,4,362,null,Porphyromonas sp. oral clone AW032,species,null
710240,32207,4,362,null,Rothia sp. oral taxon 188,species,null
1268,85006,4,362,null,Micrococcaceae,family,null
143361,44259,3,271,null,Filifactor alocis,species,null
44259,186804,3,271,null,Filifactor,genus,null
2717,868,3,271,null,Cardiobacterium,genus,null
868,135615,3,271,null,Cardiobacteriaceae,family,null
117747,976,3,271,null,Sphingobacteriia,class,null
135615,1236,3,271,null,Cardiobacteriales,order,null
341694,1257,3,271,null,Peptostreptococcus stomatis,species,null
128827,526525,2,181,null,Erysipelotrichaceae,family,null
526525,526524,2,181,null,Erysipelotrichales,order,null
526524,1239,2,181,null,Erysipelotrichia,class,null
186817,1385,2,181,null,Bacillaceae,family,null
150247,186817,2,181,null,Anoxybacillus,genus,null
544580,1654,2,181,null,Actinomyces oris,species,null
186818,1385,2,181,null,Planococcaceae,family,null
