"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.84","1716","1653","444","5613",NA,"Corynebacterium","genus",NA
"ubiome_bacteriacounts.85","39948","31977","443","5600",NA,"Dialister","genus",NA
"ubiome_bacteriacounts.86","1561","1485","442","5588",NA,"Clostridium baratii","species",NA
"ubiome_bacteriacounts.87","649756","207244","430","5436",NA,"Anaerostipes hadrus","species",NA
"ubiome_bacteriacounts.88","574697","171551","324","4096",NA,"Butyricimonas","genus",NA
"ubiome_bacteriacounts.89","116085","33042","320","4045",NA,"Coprococcus catus","species",NA
"ubiome_bacteriacounts.90","189330","186803","320","4045",NA,"Dorea","genus",NA
"ubiome_bacteriacounts.91","134034","1716","317","4007",NA,"Corynebacterium freneyi","species",NA
"ubiome_bacteriacounts.92","28050","186803","307","3881",NA,"Lachnospira","genus",NA
"ubiome_bacteriacounts.93","360807","841","295","3729",NA,"Roseburia inulinivorans","species",NA
"ubiome_bacteriacounts.94","410072","33042","290","3666",NA,"Coprococcus comes","species",NA
"ubiome_bacteriacounts.95","291644","816","287","3628",NA,"Bacteroides salyersiae","species",NA
"ubiome_bacteriacounts.96","1224","2","284","3590",NA,"Proteobacteria","phylum","2ab69d"
"ubiome_bacteriacounts.97","333046","171549","246","3110",NA,"unclassified Bacteroidales","no_rank",NA
"ubiome_bacteriacounts.98","185291","333046","237","2996",NA,"unclassified Bacteroidales (miscellaneous)","no_rank",NA
"ubiome_bacteriacounts.99","1118061","185291","237","2996",NA,"Bacteroidales bacterium ph8","species",NA
"ubiome_bacteriacounts.100","544645","574697","227","2870",NA,"Butyricimonas virosa","species",NA
"ubiome_bacteriacounts.101","1266","31979","214","2705",NA,"Sarcina","genus",NA
"ubiome_bacteriacounts.102","68525","1224","154","1947",NA,"delta/epsilon subdivisions","subphylum",NA
"ubiome_bacteriacounts.103","28221","68525","152","1922",NA,"Deltaproteobacteria","class",NA
"ubiome_bacteriacounts.104","213115","28221","150","1896",NA,"Desulfovibrionales","order",NA
"ubiome_bacteriacounts.105","194924","213115","150","1896",NA,"Desulfovibrionaceae","family",NA
"ubiome_bacteriacounts.106","216816","1678","147","1858",NA,"Bifidobacterium longum","species",NA
"ubiome_bacteriacounts.107","35833","35832","145","1833",NA,"Bilophila wadsworthia","species",NA
"ubiome_bacteriacounts.108","35832","194924","145","1833",NA,"Bilophila","genus",NA
"ubiome_bacteriacounts.109","47678","816","142","1795",NA,"Bacteroides caccae","species",NA
"ubiome_bacteriacounts.110","28118","283168","135","1707",NA,"Odoribacter splanchnicus","species",NA
"ubiome_bacteriacounts.111","583272","841","131","1656",NA,"Roseburia sp. 11SE38","species",NA
"ubiome_bacteriacounts.112","244127","541000","131","1656",NA,"Anaerotruncus","genus",NA
"ubiome_bacteriacounts.113","278082","1313211","93","1176",NA,"Victivallales","no_rank",NA
"ubiome_bacteriacounts.114","256845","51290","93","1176",NA,"Lentisphaerae","phylum",NA
"ubiome_bacteriacounts.115","1301","1300","93","1176",NA,"Streptococcus","genus",NA
"ubiome_bacteriacounts.116","255528","278082","93","1176",NA,"Victivallaceae","family",NA
"ubiome_bacteriacounts.117","1300","186826","93","1176",NA,"Streptococcaceae","family",NA
"ubiome_bacteriacounts.118","1313211","256845","93","1176",NA,"Lentisphaeria","class",NA
"ubiome_bacteriacounts.119","573637","255528","91","1150",NA,"unclassified Victivallaceae","no_rank",NA
"ubiome_bacteriacounts.120","573638","573637","91","1150",NA,"Victivallaceae bacterium NML 080035","species",NA
"ubiome_bacteriacounts.121","526525","526524","90","1138",NA,"Erysipelotrichales","order",NA
"ubiome_bacteriacounts.122","526524","1239","90","1138",NA,"Erysipelotrichia","class",NA
"ubiome_bacteriacounts.123","128827","526525","90","1138",NA,"Erysipelotrichaceae","family",NA
"ubiome_bacteriacounts.124","702953","1716","85","1075",NA,"Corynebacterium sp. NML00-0156","species",NA
"ubiome_bacteriacounts.125","1308","1301","75","948",NA,"Streptococcus thermophilus","species",NA
"ubiome_bacteriacounts.126","545498","244127","74","936",NA,"Anaerotruncus sp. NML 070203","species",NA
"ubiome_bacteriacounts.127","871664","572511","71","898",NA,"Blautia stercoris","species",NA
"ubiome_bacteriacounts.128","28211","1224","70","885",NA,"Alphaproteobacteria","class",NA
"ubiome_bacteriacounts.129","909930","909929","63","796",NA,"Acidaminococcaceae","family",NA
"ubiome_bacteriacounts.130","649775","508458","55","695",NA,"Synergistia","class",NA
"ubiome_bacteriacounts.131","508458","2","55","695",NA,"Synergistetes","phylum",NA
"ubiome_bacteriacounts.132","649776","649775","55","695",NA,"Synergistales","order",NA
"ubiome_bacteriacounts.133","649777","649776","55","695",NA,"Synergistaceae","family",NA
"ubiome_bacteriacounts.134","41275","76892","54","683",NA,"Brevundimonas","genus",NA
"ubiome_bacteriacounts.135","76892","204458","54","683",NA,"Caulobacteraceae","family",NA
"ubiome_bacteriacounts.136","204458","28211","54","683",NA,"Caulobacterales","order",NA
"ubiome_bacteriacounts.137","904","909930","51","645",NA,"Acidaminococcus","genus",NA
"ubiome_bacteriacounts.138","905","904","51","645",NA,"Acidaminococcus fermentans","species",NA
"ubiome_bacteriacounts.139","171552","171549","50","632",NA,"Prevotellaceae","family",NA
"ubiome_bacteriacounts.140","838","171552","50","632",NA,"Prevotella","genus",NA
"ubiome_bacteriacounts.141","653683","31979","45","569",NA,"Anaerosporobacter","genus",NA
"ubiome_bacteriacounts.142","1203227","29521","43","544",NA,"Brachyspira sp. NSH-25","species",NA
"ubiome_bacteriacounts.143","84998","1760","43","544",NA,"Coriobacteridae","subclass",NA
"ubiome_bacteriacounts.144","84999","84998","43","544",NA,"Coriobacteriales","order",NA
"ubiome_bacteriacounts.145","255727","84999","43","544",NA,"Coriobacterineae","suborder",NA
"ubiome_bacteriacounts.146","143786","136","43","544",NA,"Brachyspiraceae","family",NA
"ubiome_bacteriacounts.147","29521","143786","43","544",NA,"Brachyspira","genus",NA
"ubiome_bacteriacounts.148","136","203692","43","544",NA,"Spirochaetales","order",NA
"ubiome_bacteriacounts.149","203692","203691","43","544",NA,"Spirochaetia","class",NA
"ubiome_bacteriacounts.150","203691","2","43","544",NA,"Spirochaetes","phylum",NA
"ubiome_bacteriacounts.151","84107","255727","43","544",NA,"Coriobacteriaceae","family",NA
"ubiome_bacteriacounts.152","638847","649777","40","506",NA,"Pyramidobacter","genus",NA
"ubiome_bacteriacounts.153","227526","1485","38","480",NA,"Clostridium sp. MDA2315","species",NA
"ubiome_bacteriacounts.154","191303","128827","35","442",NA,"Turicibacter","genus",NA
"ubiome_bacteriacounts.155","186928","186803","35","442",NA,"unclassified Lachnospiraceae","no_rank",NA
"ubiome_bacteriacounts.156","544448","2","34","430",NA,"Tenericutes","phylum",NA
"ubiome_bacteriacounts.157","44258","31979","34","430",NA,"Caloramator","genus",NA
"ubiome_bacteriacounts.158","102106","84107","34","430",NA,"Collinsella","genus",NA
"ubiome_bacteriacounts.159","31969","544448","34","430",NA,"Mollicutes","class",NA
"ubiome_bacteriacounts.160","658081","186928","32","405",NA,"Lachnospiraceae bacterium 1_1_57FAA","species",NA
"ubiome_bacteriacounts.161","80840","28216","31","392",NA,"Burkholderiales","order",NA
"ubiome_bacteriacounts.162","691811","1485","31","392",NA,"Clostridium sp. AUH-JLC235","species",NA
"ubiome_bacteriacounts.163","28216","1224","31","392",NA,"Betaproteobacteria","class",NA
"ubiome_bacteriacounts.164","48479","2","29","367",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.165","487175","577310","29","367",NA,"Parasutterella excrementihominis","species",NA
"ubiome_bacteriacounts.166","577310","995019","29","367",NA,"Parasutterella","genus",NA
"ubiome_bacteriacounts.167","995019","80840","29","367",NA,"Sutterellaceae","family",NA
"ubiome_bacteriacounts.168","186807","186802","28","354",NA,"Peptococcaceae","family",NA
"ubiome_bacteriacounts.169","1236","1224","27","341",NA,"Gammaproteobacteria","class",NA
"ubiome_bacteriacounts.170","596767","541000","26","329",NA,"Hydrogenoanaerobacterium","genus",NA
"ubiome_bacteriacounts.171","620860","39779","26","329",NA,"Clostridiales bacterium L2-14","species",NA
"ubiome_bacteriacounts.172","292632","541000","26","329",NA,"Subdoligranulum","genus",NA
"ubiome_bacteriacounts.173","57171","1716","25","316",NA,"Corynebacterium mucifaciens","species",NA
"ubiome_bacteriacounts.174","665956","292632","24","303",NA,"Subdoligranulum sp. 4_3_54A2FAA","species",NA
"ubiome_bacteriacounts.175","459786","216572","23","291",NA,"Oscillibacter","genus",NA
"ubiome_bacteriacounts.176","1146723","49928","23","291",NA,"bacterium NLAE-zl-P827","species",NA
"ubiome_bacteriacounts.177","216572","186802","23","291",NA,"Oscillospiraceae","family",NA
"ubiome_bacteriacounts.178","245019","39779","23","291",NA,"butyrate-producing bacterium SR1/1","order",NA
"ubiome_bacteriacounts.179","538999","186802","21","265",NA,"Clostridiales incertae sedis","no_rank",NA
"ubiome_bacteriacounts.180","543310","538999","21","265",NA,"Clostridiales Family XI. Incertae Sedis","family",NA
"ubiome_bacteriacounts.181","742817","626933","21","265",NA,"Odoribacter laneus YIT 12061","no_rank",NA
"ubiome_bacteriacounts.182","592978","1263","21","265",NA,"Ruminococcus faecis","species",NA
"ubiome_bacteriacounts.183","131550","2","19","240",NA,"Fibrobacteres/Acidobacteria group","superphylum",NA
"ubiome_bacteriacounts.184","28127","838","19","240",NA,"Prevotella buccalis","species",NA
"ubiome_bacteriacounts.185","57723","131550","19","240",NA,"Acidobacteria","phylum",NA
"ubiome_bacteriacounts.186","252702","39779","18","228",NA,"butyrate-producing bacterium ART55/1","order",NA
"ubiome_bacteriacounts.187","204432","57723","17","215",NA,"Acidobacteriia","class",NA
"ubiome_bacteriacounts.188","877428","49928","16","202",NA,"rumen bacterium NK4A214","species",NA
"ubiome_bacteriacounts.189","457415","2753","15","190",NA,"Synergistes sp. 3_1_syn1","species",NA
"ubiome_bacteriacounts.190","2753","649777","15","190",NA,"Synergistes","genus",NA
"ubiome_bacteriacounts.191","1385","91061","14","177",NA,"Bacillales","order",NA
"ubiome_bacteriacounts.192","135858","128827","14","177",NA,"Catenibacterium","genus",NA
"ubiome_bacteriacounts.193","1217281","574697","13","164",NA,"Butyricimonas sp. 214-4","species",NA
"ubiome_bacteriacounts.194","329854","816","12","152",NA,"Bacteroides intestinalis","species",NA
"ubiome_bacteriacounts.195","33024","909930","12","152",NA,"Phascolarctobacterium","genus",NA
"ubiome_bacteriacounts.196","85005","2037","11","139",NA,"Actinomycineae","suborder",NA
"ubiome_bacteriacounts.197","320882","1485","11","139",NA,"Clostridium sp. ID5","species",NA
"ubiome_bacteriacounts.198","184869","2049","11","139",NA,"Varibaculum","genus",NA
"ubiome_bacteriacounts.199","2049","85005","11","139",NA,"Actinomycetaceae","family",NA
"ubiome_bacteriacounts.200","184870","184869","11","139",NA,"Varibaculum cambriense","species",NA
"ubiome_bacteriacounts.201","50559","186802","10","126",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.202","90964","1385","10","126",NA,"Staphylococcaceae","family",NA
"ubiome_bacteriacounts.203","39484","1730","10","126",NA,"Eubacterium desmolans","species",NA
"ubiome_bacteriacounts.204","150022","543310","10","126",NA,"Finegoldia","genus",NA
"ubiome_bacteriacounts.205","1260","150022","10","126",NA,"Finegoldia magna","species",NA
"ubiome_bacteriacounts.206","189710","50559","10","126",NA,"Clostridiales bacterium oral clone MCE3_9","species",NA
"ubiome_bacteriacounts.207","428128","39492","10","126",NA,"Eubacterium siraeum DSM 15702","no_rank",NA
"ubiome_bacteriacounts.208","135619","1236","10","126",NA,"Oceanospirillales","order",NA
"ubiome_bacteriacounts.209","888062","309120","9","114",NA,"Dialister micraerophilus DSM 19965","no_rank",NA
"ubiome_bacteriacounts.210","309120","39948","9","114",NA,"Dialister micraerophilus","species",NA
"ubiome_bacteriacounts.211","69825","1485","9","114",NA,"Clostridium indolis","species",NA
"ubiome_bacteriacounts.212","38289","1716","8","101",NA,"Corynebacterium jeikeium","species",NA
"ubiome_bacteriacounts.213","1496","1481960","8","101",NA,"Peptoclostridium difficile","species",NA
"ubiome_bacteriacounts.214","1481960","186804","8","101",NA,"Peptoclostridium","genus",NA
"ubiome_bacteriacounts.215","699035","1496","8","101",NA,"Peptoclostridium difficile M120","no_rank",NA
"ubiome_bacteriacounts.216","13136","48479","8","101",NA,"unidentified marine bacterioplankton","species",NA
"ubiome_bacteriacounts.217","2740","186807","8","101",NA,"Peptococcus","genus",NA
"ubiome_bacteriacounts.218","626932","239759","8","101",NA,"Alistipes indistinctus","species",NA
"ubiome_bacteriacounts.219","670486","301297","7","88",NA,"Dehalogenimonas","genus",NA
"ubiome_bacteriacounts.220","552811","552810","7","88",NA,"Dehalogenimonas lykanthroporepellens BL-DC-9","no_rank",NA
"ubiome_bacteriacounts.221","552810","670486","7","88",NA,"Dehalogenimonas lykanthroporepellens","species",NA
"ubiome_bacteriacounts.222","91347","1236","7","88",NA,"Enterobacteriales","order",NA
"ubiome_bacteriacounts.223","301297","200795","7","88",NA,"Dehalococcoidia","class",NA
"ubiome_bacteriacounts.224","33025","33024","7","88",NA,"Phascolarctobacterium faecium","species",NA
"ubiome_bacteriacounts.225","200795","2","7","88",NA,"Chloroflexi","phylum",NA
"ubiome_bacteriacounts.226","543","91347","7","88",NA,"Enterobacteriaceae","family",NA
"ubiome_bacteriacounts.227","162289","543310","7","88",NA,"Peptoniphilus","genus",NA
"ubiome_bacteriacounts.228","43765","1716","7","88",NA,"Corynebacterium amycolatum","species",NA
"ubiome_bacteriacounts.229","39488","1730","7","88",NA,"Eubacterium hallii","species",NA
"ubiome_bacteriacounts.230","946234","186813","6","76",NA,"Flavonifractor","genus",NA
"ubiome_bacteriacounts.231","641484","255204","6","76",NA,"Pseudoclavibacter sp. Timone","species",NA
"ubiome_bacteriacounts.232","768507","768503","6","76",NA,"Cytophagales","order",NA
"ubiome_bacteriacounts.233","255204","85023","6","76",NA,"Pseudoclavibacter","genus",NA
"ubiome_bacteriacounts.234","2701","31953","6","76",NA,"Gardnerella","genus",NA
"ubiome_bacteriacounts.235","768503","976","6","76",NA,"Cytophagia","class",NA
"ubiome_bacteriacounts.236","85006","2037","6","76",NA,"Micrococcineae","suborder",NA
"ubiome_bacteriacounts.237","89373","768507","6","76",NA,"Cytophagaceae","family",NA
"ubiome_bacteriacounts.238","471870","329854","6","76",NA,"Bacteroides intestinalis DSM 17393","no_rank",NA
"ubiome_bacteriacounts.239","85023","85006","6","76",NA,"Microbacteriaceae","family",NA
"ubiome_bacteriacounts.240","836","171551","6","76",NA,"Porphyromonas","genus",NA
