"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.164","135028","43996","22","387",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.165","163545","135028","22","387",NA,"Catonella sp. oral clone BR063","species",NA
"ubiome_bacteriacounts.166","43996","186803","22","387",NA,"Catonella","genus",NA
"ubiome_bacteriacounts.167","84372","1730","21","369",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.168","186806","186802","21","369",NA,"Eubacteriaceae","family",NA
"ubiome_bacteriacounts.169","1730","186806","21","369",NA,"Eubacterium","genus",NA
"ubiome_bacteriacounts.170","163591","84372","19","334",NA,"Eubacterium sp. oral clone DO016","species",NA
"ubiome_bacteriacounts.171","341694","1257","19","334",NA,"Peptostreptococcus stomatis","species",NA
"ubiome_bacteriacounts.172","39948","31977","17","299",NA,"Dialister","genus",NA
"ubiome_bacteriacounts.173","265975","186803","16","281",NA,"Oribacterium","genus",NA
"ubiome_bacteriacounts.174","237576","265975","16","281",NA,"Oribacterium sinus","species",NA
"ubiome_bacteriacounts.175","156456","156454","15","264",NA,"Anaeroglobus geminatus","species",NA
"ubiome_bacteriacounts.176","156454","31977","15","264",NA,"Anaeroglobus","genus",NA
"ubiome_bacteriacounts.177","194702","2717","15","264",NA,"Cardiobacterium valvarum","species",NA
"ubiome_bacteriacounts.178","272548","1654","13","229",NA,"Actinomyces dentalis","species",NA
"ubiome_bacteriacounts.179","157","137","13","229",NA,"Treponema","genus",NA
"ubiome_bacteriacounts.180","137","136","13","229",NA,"Spirochaetaceae","family",NA
"ubiome_bacteriacounts.181","136","203692","13","229",NA,"Spirochaetales","order",NA
"ubiome_bacteriacounts.182","461393","1654","13","229",NA,"Actinomyces massiliensis","species",NA
"ubiome_bacteriacounts.183","203692","203691","13","229",NA,"Spirochaetia","class",NA
"ubiome_bacteriacounts.184","203691","2","13","229",NA,"Spirochaetes","phylum",NA
"ubiome_bacteriacounts.185","671217","838","13","229",NA,"Prevotella sp. oral taxon 292","species",NA
"ubiome_bacteriacounts.186","1046947","363464","10","176",NA,"unclassified Gracilibacteria","no_rank",NA
"ubiome_bacteriacounts.187","28136","838","10","176",NA,"Prevotella oulorum","species",NA
"ubiome_bacteriacounts.188","1018","1016","10","176",NA,"Capnocytophaga ochracea","species",NA
"ubiome_bacteriacounts.189","538999","186802","10","176",NA,"Clostridiales incertae sedis","no_rank",NA
"ubiome_bacteriacounts.190","543314","538999","10","176",NA,"Clostridiales Family XIII. Incertae Sedis","family",NA
"ubiome_bacteriacounts.191","363464","2323","10","176",NA,"Gracilibacteria","phylum",NA
"ubiome_bacteriacounts.192","1226339","1046947","10","176",NA,"Gracilibacteria bacterium oral taxon 872","species",NA
"ubiome_bacteriacounts.193","1308","1301","9","158",NA,"Streptococcus thermophilus","species",NA
"ubiome_bacteriacounts.194","596085","838","9","158",NA,"Prevotella aurantiaca","species",NA
"ubiome_bacteriacounts.195","1240104","49928","8","141",NA,"bacterium CCF-01","species",NA
"ubiome_bacteriacounts.196","84998","1760","7","123",NA,"Coriobacteridae","subclass",NA
"ubiome_bacteriacounts.197","194195","481","7","123",NA,"Alysiella","genus",NA
"ubiome_bacteriacounts.198","84999","84998","7","123",NA,"Coriobacteriales","order",NA
"ubiome_bacteriacounts.199","1226341","221235","7","123",NA,"SR1 bacterium oral taxon 874","species",NA
