"","2017-01-05","2016-09-04","2016-12-14","2016-12-23","2017-01-03","2017-01-10","2017-02-28","2017-04-06","2017-04-09","2017-04-10","2017-04-12","2017-04-15","2017-04-22","2017-04-26","2017-05-13","2017-05-18","2017-06-26","2017-06-17","2017-07-08","2017-07-11","2017-07-13","2017-07-13","2017-07-14"
"Achromobacter",0,0,0,0,0,0,0,0,0,54,234,1247,5675,0,59,0,90,0,0,0,0,0,0
"Rhodococcus",0,0,0,86,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenotrophomonas",0,0,2085,0,135,0,0,0,122,298,78,366,22781,3496,6730,0,271,0,0,0,1534,689,0
"Ralstonia",0,0,625,25,0,0,0,302,0,0,0,0,23726,3126,141,107,0,44,0,0,0,0,427
"Meiothermus",0,0,0,0,0,0,0,0,81,54,136,0,0,294,0,0,0,0,0,0,0,0,0
"Mogibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0
"Shinella",0,0,0,0,0,58,0,0,736,217,566,1174,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,3274,0
"Neisseria",20,134,0,0,42,0,0,113,0,0,117,0,0,0,0,53,0,124,0,0,0,0,0
"Actinobacillus",839,0,0,0,3131,0,0,227,0,0,234,220,0,304,0,0,135,239,0,0,0,0,0
"Haemophilus",398,124,0,0,431,0,0,0,0,0,293,0,0,217,0,0,0,186,0,0,0,0,0
"Fusobacterium",0,651,0,0,16,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga",0,320,0,0,465,0,0,0,0,108,0,0,0,0,0,0,0,26,0,0,0,0,0
"Peptostreptococcus",0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",702,175,709,25,1261,0,0,75,0,108,625,293,0,119,0,0,135,372,0,0,0,0,0
"Mycobacterium",0,20,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella",0,506,0,0,313,0,0,0,0,0,214,0,0,0,0,0,0,17,0,0,0,689,0
"Leptotrichia",0,289,0,0,203,29,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0,380,0,0,151,0,0,234,0,0,0,0,0,0,0,0,0,146,0,0
"Johnsonella",0,82,0,0,93,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catonella",0,51,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia",0,0,0,0,0,0,0,0,0,190,117,0,0,108,0,0,0,97,0,0,0,0,0
"Centipeda",0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,20,0,0,660,0,0,0,0,0,0,0,0,0,0,0,181,97,0,0,365,0,0
"Oribacterium",0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter",0,0,0,0,50,0,0,47,0,0,175,0,0,0,0,0,0,44,0,0,0,0,0
"Moryella",0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parvimonas",0,31,0,51,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoanaerobaculum",0,31,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatobaculum",0,93,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
"Alloprevotella",0,351,0,0,101,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella",578607,388297,632590,782841,605513,779132,392081,417167,575497,545155,521976,605431,300409,449943,414263,626902,341883,291590,276499,239480,78030,397759,55601
"Phyllobacterium",356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolosigranulum",75990,153897,90298,65816,206955,51796,244978,80869,90555,82022,104762,137908,82768,101680,185869,139097,129792,191963,186592,191910,77518,184144,26056
"Acinetobacter",0,258,0,112,0,29,0,179,0,0,58,366,0,555,0,0,0,17,0,636,0,0,0
"Micrococcus",0,20,0,0,16,29,164,18,0,108,0,0,0,0,0,80,0,0,0,0,0,0,0
"Lactobacillus",0,0,0,0,59,0,0,0,0,0,0,53357,0,0,0,0,0,0,0,0,0,0,775
"Microbacterium",262,0,0,0,110,0,0,0,0,81,0,0,0,0,0,0,0,0,0,245,0,0,334
"Lautropia",0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mobiluncus",0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,0
"Enterobacter",0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0
"Lactococcus",0,124,0,233,33,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
"Weissella",0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobium",272,20,250,0,0,0,0,0,163,0,0,146,5517,0,0,26,135,17,142,513,219,0,587
