"taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"33958","186826","2","61","null","Lactobacillaceae","family","null"
"61432","49546","2","61","null","unclassified Flavobacteriaceae","no_rank","null"
"1185407","186802","2","61","null","Defluviitaleaceae","family","null"
"1185408","1185407","2","61","null","Defluviitalea","no_rank","null"
"563835","200666","2","61","null","Chitinophagaceae","no_rank","null"
"200666","117747","2","61","null","Sphingobacteriales","order","null"
"583272","841","2","61","null","Roseburia sp. 11SE38","species","null"
"80840","28216","2","61","null","Burkholderiales","order","null"
"390516","586","2","61","null","environmental samples","no_rank","null"
"580024","84107","2","61","null","Enterorhabdus","genus","null"
"214856","239759","2","61","null","Alistipes finegoldii","species","null"
"61170","128827","2","61","null","Holdemania","genus","null"
"451274","204441","2","61","null","unclassified Rhodospirillales","no_rank","null"
"533205","57723","2","61","null","Holophagae","class","null"
"33807","82117","2","61","null","unclassified Alphaproteobacteria (miscellaneous)","no_rank","null"
"574975","533205","2","61","null","Holophagales","order","null"
"691811","1485","2","61","null","Clostridium sp. AUH-JLC235","species","null"
"1034345","1473216","2","61","null","Senegalimassilia anaerobia JC110","no_rank","null"
"1473216","1473205","2","61","null","Senegalimassilia anaerobia","species","null"
"1473205","84107","2","61","null","Senegalimassilia","genus","null"
"46205","186803","2","61","null","Pseudobutyrivibrio","genus","null"
